OACI;Denominación;Movimientos
SABE;BUENOS AIRES/AEROPARQUE J. NEWBERY;28505
SAEZ;EZEIZA/MINISTRO PISTARINI;16015
SADF;SAN FERNANDO;8892
SACO;CÓRDOBA/ING. AER. A. L. V. TARAVELLA;5680
SAME;MENDOZA/EL PLUMERILLO;3969
SASA;SALTA/GENERAL D. MARTÍN MIGUEL DE GÜEMES;3194
SAZS;SAN CARLOS DE BARILOCHE;2533
SAZN;NEUQUÉN/PRESIDENTE PERÓN;2522
SAAR;ROSARIO/ISLAS MALVINAS;2309
SARI;CATARATAS DEL  IGUAZÚ/MY. D. CARLOS EDUARDO KRAUSE;2129
SAVC;COMODORO RIVADAVIA/GRAL. E. MOSCONI;2014
SANT;TUCUMÁN/TENIENTE BENJAMIN MATIENZO;1810
SADM;MORÓN;1753
SAWH;USHUAIA/MALVINAS ARGENTINAS;1505
SAZM;MAR DEL PLATA/ASTOR PIAZZOLLA;1389
SAWC;EL CALAFATE;1353
SAVT;TRELEW/ALMIRANTE ZAR;1216
SAZB;BAHÍA BLANCA/COMANDANTE ESPORA;1183
SARE;RESISTENCIA;1016
SAWG;RÍO GALLEGOS/PILOTO CIVIL NORBERTO FERNANDEZ;987
SARP;POSADAS/LIBERTADOR GRAL. D. JOSÉ DE SAN MARTÍN;822
SASJ;JUJUY/GOBERNADOR GUZMÁN;813
SANU;SAN JUAN/DOMINGO FAUSTINO SARMIENTO;673
SAWE;RÍO GRANDE;527
SAAV;SANTA FÉ/SAUCE VIEJO;517
SAAP;PARANÁ/GRAL. URQUIZA;473
SAZR;SANTA ROSA;469
SAMR;SAN RAFAEL/S.A. SANTIAGO GERMANO;446
SAZY;SAN MARTÍN DE LOS ANDES/AVIADOR C. CAMPOS;442
SAOU;SAN LUIS/BRIG. MAYOR D. CÉSAR RAUL OJEDA;438
SADP;EL PALOMAR;414
SARF;FORMOSA;411
SARC;CORRIENTES;395
SANE;SANTIAGO DEL ESTERO/VCOM. ANGEL DE LA PAZ ARAGONÉS;363
SAVE;ESQUEL/BRIGADIER GENERAL ANTONIO PARODI;305
SANC;CATAMARCA;299
SANL;LA RIOJA/CAP. VICENTE A. ALMONACID;271
SAVY;PUERTO MADRYN/EL TEHUELCHE;264
SAOC;RÍO CUARTO/ÁREA DE MATERIAL;243
SAVV;VIEDMA/GOBERNADOR CASTELLO;241
SATR;RECONQUISTA;180
SAZT;TANDIL/HÉROES DE MALVINAS;157
SADL;LA PLATA;151
SAAC;CONCORDIA/COMODORO PIERRESTEGUI;134
SAZG;GENERAL PICO;116
SAAG;GUALEGUAYCHÚ;113
SAMM;MALARGÜE/COMODORO D. RICARDO SALOMÓN;100
SAZF;OLAVARRÍA;52
SAOR;VILLA REYNOLDS;42
SATG;GOYA;27
SAZL;SANTA TERESITA;17
SAZV;VILLA GESELL;16
SACD;CORONEL OLMEDO;3
SAVD;EL MAITÉN;3
SAAJ;JUNÍN;2
SADQ;QUILMES;1
SAVJ;INGENIERO JACOBACCI/CABO F.A.A. H. R. BORDÓN;1
SAVN;SAN ANTONIO OESTE/ANTOINE DE SAINT EXUPERY;1
SAWD;PUERTO DESEADO;1
SAWS;JOSÉ DE SAN MARTÍN;1
SAWT;EL TURBIO/28 DE NOVIEMBRE;1
